"Source:","/Users/aidanphillips/Desktop/bike_light/bike_light_kicad/bike_light_kicad.sch"
"Date:","Wednesday, September 09, 2020 at 07:26:04 PM"
"Tool:","Eeschema (5.1.6-0-10_14)"
"Generator:","/private/var/folders/hr/0t87q3253pqdxks8kdm1n3fw0000gn/T/AppTranslocation/CF4300B9-71FA-47FE-8804-5C0CE570A004/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","56"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","BT1","Battery_Cell","Device:Battery_Cell","","~","","","","","","","","",""
"","","C1",".1uF","Device:C","Capacitors_SMD:C_0603","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","C2",".1uF","Device:C","Capacitors_SMD:C_0603","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","C3",".1uF","Device:C","Capacitors_SMD:C_0603","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","C4","4.7uF","Device:C","Capacitors_SMD:C_0603","","","","","","1276-1904-1-ND","","CL10A475MO8NNNC","",""
"","","C5","4.7uF","Device:C","Capacitors_SMD:C_1206","","","","","","399-3524-1-ND","","C1206C475K4RACTU","",""
"","","C6","22uF","Device:C","Capacitors_SMD:C_0805","","","","","","490-9956-1-ND","","GRM21BC81C226ME44L","",""
"","","C7","22uF","Device:C","Capacitors_SMD:C_0805","","","","","","490-9956-1-ND","","GRM21BC81C226ME44L","",""
"","","C8","22uF","Device:C","Capacitors_SMD:C_0805","","","","","","490-9956-1-ND","","GRM21BC81C226ME44L","",""
"","","C9","22uF","Device:C","Capacitors_SMD:C_0805","","","","","","490-9956-1-ND","","GRM21BC81C226ME44L","",""
"","","C10",".1uF","Device:C","Capacitors_SMD:C_0603","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","C11","39pF","Device:C","Capacitors_SMD:C_0603","","","","","","399-7911-1-ND","","C0603C390J5GACTU","",""
"","","C12",".1uF","Device:C","Capacitors_SMD:C_0603","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","C13","1uF","Device:C","Capacitor_SMD:C_0603_1608Metric","","","","","","399-11136-1-ND","","C0603C105M4RACTU","",""
"","","C14",".1uF","Device:C","Capacitors_SMD:C_0603","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","C15","1uF","Device:C","Capacitor_SMD:C_0603_1608Metric","","","","","","399-11136-1-ND","","C0603C105M4RACTU","",""
"","","C16","1uF","Device:C","Capacitor_SMD:C_0603_1608Metric","","","","","","399-11136-1-ND","","C0603C105M4RACTU","",""
"","","C18",".1uF","Device:C","Capacitor_SMD:C_0603_1608Metric","","","","","","399-1099-1-ND","","C0603C104M4RACTU","",""
"","","D1","LED","Device:LED","","https://optoelectronics.liteon.com/upload/download/DS-22-99-0186/LTST-C190KFKT.PDF","","","","","160-1434-1-ND","","LTST-C190KFKT","",""
"","","D2","D_Schottky","Device:D_Schottky","Diodes_SMD:D_SOD-323F","","","","","","1727-3861-2-ND","","PMEG2015EJ,115","",""
"","","D3","LED","Device:LED","","~","","","","","1510-2183-1-ND","","SPMWHT541ML5XATMS6","",""
"","","D4","LED","Device:LED","","~","","","","","1510-2183-1-ND","","SPMWHT541ML5XATMS6","",""
"","","D5","LED","Device:LED","","~","","","","","1510-2183-1-ND","","SPMWHT541ML5XATMS6","",""
"","","D6","LED","Device:LED","","~","","","","","1510-2183-1-ND","","SPMWHT541ML5XATMS6","",""
"","","D7","LED","Device:LED","","~","","","","","1510-2183-1-ND","","SPMWHT541ML5XATMS6","",""
"","","D8","LED","Device:LED","","~","","","","","1510-2183-1-ND","","SPMWHT541ML5XATMS6","",""
